epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.9412,1.70746,0.50633,0.98101,1.4193,0.000331909,0.000331909,0.000331909
2,19.3384,1.49341,0.72785,0.99367,0.92536,0.000599383,0.000599383,0.000599383
3,25.8492,1.29878,0.79114,0.99367,0.69166,0.000800858,0.000800858,0.000800858
4,32.3259,1.17051,0.8038,0.99367,0.60459,0.000703,0.000703,0.000703
5,38.8227,1.05576,0.85443,1,0.51124,0.000604,0.000604,0.000604
6,45.2724,0.98412,0.86076,1,0.49056,0.000505,0.000505,0.000505
7,51.8268,0.96533,0.84177,1,0.47361,0.000406,0.000406,0.000406
8,58.2471,0.8817,0.86709,0.99367,0.49205,0.000307,0.000307,0.000307
9,64.8324,0.83163,0.87342,0.99367,0.44622,0.000208,0.000208,0.000208
10,71.3453,0.8433,0.86709,1,0.47309,0.000109,0.000109,0.000109
